 AguilarGrace_ENG18470Aguilar_1 AinsworthWilliamHarrison_ENG18500Ainsworth_1 AnsteyF_ENG18820Anstey_1 ArlenMichael_ENG19201Arlen_1 BaringGouldSabine_ENG18980BaringGould_1 BarryWilliamFrancis_ENG18870Barry_1 BellocLowndesMarie_ENG19121Belloc_1 BensonEdwardFrederic_ENG18930Benson_1 BensonStella_ENG19190Benson_1 BlackmoreRichardDoddridge_ENG18640Blackmore_1 BraddonMaryElizabeth_ENG18621Braddon_1 BronteCharlotte_ENG18570Bronte_1 BronteEmily_ENG18471Bronte_1 BroughtonRhoda_ENG18830Broughton_1 BroughtonRhoda_ENG18871Broughton_1 BroughtonRhoda_ENG18901Broughton_1 BuchanJohn_ENG19150Buchan_1 CairdMona_ENG18941Caird_1 CarrollLewis_ENG18652Carroll_1 ChestertonGilbertKeith_ENG19080Chesterton_1 CholmondeleyMary_ENG18973Cholmondeley_1 CliveCarolineWigley_ENG18600Clive_1 CollinsWilkie_ENG18760Collins_1 ConradJoseph_ENG19170Conrad_1 CraikDinahMarie_ENG18630Craik_1 CrossVictoria_ENG18950Cross_1 DickensCharles_ENG18481Dickens_1 DickensCharles_ENG18530Dickens_1 DickensCharles_ENG18540Dickens_1 DisraeliBenjamin_ENG18440Disraeli_1 DisraeliBenjamin_ENG18450Disraeli_1 DisraeliBenjamin_ENG18800Disraeli_1 DixonEllaHepworth_ENG18940Dixon_1 DoyleArthurConan_ENG18900Doyle_1 EliotGeorge_ENG18610Eliot_1 EliotGeorge_ENG18660Eliot_1 EliotGeorge_ENG18721Eliot_1 ForsterEdwardMorgan_ENG19100Forster_1 FowlerEllenThorneycroft_ENG19004Fowler_1 GaskellElizabethCleghorn_ENG18482Gaskell_1 GissingGeorge_ENG18911Gissing_1 GlynElinor_ENG19001Glyn_1 GriffithsMajorArthurGeorgeFrederick_ENG18961Griffiths_1 GrossmithGeorge_ENG18920Grossmith_1 HamiltonCicely_ENG19191Hamilton_1 HardyThomas_ENG18860Hardy_1 HarradenBeatrice_ENG18931Harraden_1 HornungErnestWilliam_ENG19111Hornung_1 JenkinsJohnEdward_ENG18702Jenkins_1 JeromeJeromeK_ENG19011Jerome_1 KavanaghJulia_ENG18552Kavanagh_1 KingsleyCharles_ENG18510Kingsley_1 LawrenceDavidHerbert_ENG19200Lawrence_1 LeeVernon_ENG18840Lee_1 LewisPercyWyndham_ENG19180Lewis_1 LintonElizabethLynn_ENG18720Lynn_1 LyallEdna_ENG18872Lyall_1 LyttonEdwardBulwer_ENG18741Bulwer_1 MacDonaldGeorge_ENG18953Macdonald_1 MachenArthur_ENG19070Machen_1 MaletLucas_ENG18960Malet_1 MallockWilliamHurrell_ENG18770Mallock_1 MasonAlfredEdwardWoodley_ENG19010Mason_1 MorrisWilliam_ENG18972Morris_1 NesbitEdith_ENG18890Nesbit_1 NesbitEdith_ENG19020Nesbit_1 NesbitEdith_ENG19060Nesbit_1 OliphantLaurence_ENG18700Oliphant_1 OliphantMargaret_ENG18661Oliphant_1 Ouida_ENG18670Ouida_1 Ouida_ENG18740Ouida_1 Ouida_ENG18831Ouida_1 PhillpottsEden_ENG18970Phillpots_1 ReadeCharles_ENG18632Reade_1 ReynoldsGeorgeWilliamMcArthur_ENG18460Reynolds_1 SharpEvelyn_ENG18954Sharp_1 SilberradUnaLucy_ENG19071Silberrad_1 SinclairCatherine_ENG18410Sinclair_1 SkeneFelicia_ENG18490Skene_1 SteelFloraAnnie_ENG19005Steel_1 StrettonHesba_ENG18641Stretton_1 ThackerayWilliamMakepeace_ENG18480Thackeray_1 TrollopeAnthony_ENG18551Trollope_1 TrollopeAnthony_ENG18650Trollope_1 TrollopeAnthony_ENG18742Trollope_1 TrollopeFrancesMilton_ENG18400Trollope_1 TupperMartinFarquhar_ENG18411Tupper_1 WardHumphryMrs_ENG18880Ward_1 WardHumphryMrs_ENG18951Ward_1 WardHumphryMrs_ENG19091Ward_1 WellsHerbertGeorge_ENG18952Wells_1 WellsHerbertGeorge_ENG19090Wells_1 WellsHerbertGeorge_ENG19120Wells_1 WestRebecca_ENG19181West_1 WhiteWilliamHale_ENG18850Rutherford_1 WoolfVirginia_ENG19192Woolf_1 YeatsWilliamButler_ENG18910Yeats_1 YongeCharlotteMary_ENG18531Yonge_1 YongeCharlotteMary_ENG18560Yonge_1 YongeCharlotteMary_ENG18651Yonge_1
AguilarGrace_ENG18470Aguilar_1 0.0 3.2427013863542005 3.02699405552337 2.87325159214297 3.2133295280758714 2.955044490636137 2.9979624312844706 3.1138109579010784 3.3618056140880404 2.7775779553367803 3.11779337323444 2.9964558803536168 2.89140311949179 2.9360537609633455 3.1250474185977106 2.8396083263857737 3.5241006705611495 2.93882337697697 3.1672987167999795 3.4597230344632797 2.881146627393448 2.81580343473543 3.16855012451225 3.3483337703312603 2.579385740224065 3.306419424797469 2.890743473191599 2.953189398652664 2.971632959884648 2.923783541979378 3.0785071243558053 2.7999259907406726 3.3199317095174 3.3053562185379204 3.0195716246820847 2.9805539327552593 2.853112648581574 3.0992256409083003 2.762239224158135 2.6750612666436258 2.962230721934064 2.968301449879689 3.10586091156482 3.016175475214915 3.2612661293706804 3.090672407245246 2.896995287963671 3.15127848881286 3.07021544053538 3.37448520195609 2.8689719315973106 2.965566624588901 3.3972851394631696 2.85366096538987 3.32643204793647 2.895285167930033 2.9183893962383967 2.896714676443872 3.2030735786433677 3.2538291168807207 3.056947878752929 2.8792220235708843 3.38134676580559 2.8921841033478186 3.0037533401343968 3.29618188235633 3.40749280954754 2.79670242669086 2.6184190851620484 3.1376394622035595 3.0306352126089133 3.23519320624676 3.18292879719282 3.1208943161599096 2.9212713122082556 3.050860218325295 2.930184482285319 2.461976002709732 2.488345135389099 3.3260362701289505 3.0060751474146405 3.037375361664424 2.656273731980051 2.750893509105553 3.0369617546655254 2.5590882000087163 2.6500468707955793 3.14960162606137 3.32471729530325 3.12734859776511 3.35678716944099 3.47832374992003 3.3069082108100303 3.4005961768951396 2.849743210056615 3.036114445080552 3.3294255093476 2.524205769436652 2.6306614968719018 2.570121748205322
AinsworthWilliamHarrison_ENG18500Ainsworth_1 3.2427013863542005 0.0 3.0257055321405453 3.6110219786748603 2.487898797399417 3.0813698798760703 3.13319606530016 3.37820810197249 2.957398292933664 3.07907273096304 2.860467186821681 2.7707277730448068 2.7755411755022434 2.8178142180130292 2.817710280930998 3.040307289501285 3.121784071010385 3.10170690980727 2.710650267810597 2.704840756200107 3.0721398778088798 2.8346958202064503 2.793443582628812 3.054740275234349 3.2707680095295903 3.1150910225666157 2.9613660484900883 2.84302010800768 2.7607713913083822 2.8063188629790985 2.5273295550910317 2.9790409217515297 3.057366233442747 2.8406311231422148 3.18191009630648 3.21031002296359 3.29366785615551 3.071658112992475 3.58323597641264 3.15170979426654 3.1954452235331203 3.5646804387415294 2.70951464103927 3.06989218643177 3.1285940732725903 2.9238864554628 3.2927695915699404 3.1758622782351202 2.7705916000292863 2.796228012405371 2.900321366778209 2.8692664615453323 2.835006914335828 2.9908068194524837 2.9541126675930514 3.3087571147732104 3.1577112211067906 2.787646560337019 2.8340161363420178 3.0803369469272432 2.9350260314442815 2.993432216202111 2.668056318042623 3.10651868244087 3.27056087263957 3.1450228187631 2.5619210325725668 3.19581367559147 3.40459034341363 2.9730029892710212 3.2664155775803803 2.972127732504179 2.852726956574423 2.7026670442410046 2.341890739449377 3.36895408423503 3.6012959823218296 2.8368810816463466 3.231040668845413 2.972304738402508 2.990832214498318 2.803959662232982 3.09279660070191 3.3379885301352603 2.986404836867778 2.9200027642423367 2.9728722887584227 2.981378755770358 2.945242135993169 3.009988201900725 2.99986381132882 3.20833785698268 3.27491308632664 3.3125690223523696 3.4131487895962804 2.992670389622809 3.016070351128485 3.185344850716228 3.085205541315383 3.0793486294682033
AnsteyF_ENG18820Anstey_1 3.02699405552337 3.0257055321405453 0.0 2.9553005654839906 3.4056661102768495 3.1626406492318 2.9952938865790424 2.533028360219832 3.0301771837815763 3.030778964067614 3.0649843546085895 3.2171537917318798 2.738747454095937 2.900218582795412 2.805692445427173 2.888675701611471 3.0134725861339664 3.0176335389373827 2.958239677687538 3.10311558579976 3.20650351512096 2.940629827395843 3.11287937095444 2.951167422021447 2.974444739259327 3.170518904572024 3.074791194802903 2.785552854026725 3.109704158354573 3.33856733291009 3.2884859183680204 3.2901263042567903 3.0776929142392344 2.9289454505280768 2.75107509842974 2.946536702401423 2.897050265852948 2.827568207972198 2.769163649377817 2.951181601099009 2.637125929595684 2.922681305431621 2.7889705140905043 2.8499659016553247 3.245109527315892 3.0263723960414852 2.7704717221582458 2.647053929081772 3.0779553792098895 2.9232525742877433 3.0475053842517563 3.2017367040031504 3.113975016156 3.2255995913613 3.058984619171004 3.22427182546823 3.1711668517933305 3.3437278809826005 3.21301802561738 3.314334340347342 2.841241997114986 3.22130893454786 3.2680992163422498 3.32567330262748 2.70243726386514 2.595765578937488 2.9489780869680446 2.784707366322614 2.944234523243489 3.3546673282789903 3.375989244472451 3.57850600279974 3.30017370234241 2.967510223059486 3.0923456022891305 2.522667290922547 2.7471961509730196 3.2242700238995896 3.28501485344047 3.036434530568623 2.920125399317862 3.3661157570263898 3.0219956365607366 2.669952093617364 3.1263529244476933 2.758723116986909 3.12926567114802 3.18196910875782 2.900269931635684 3.0690328919463807 3.2770748742515097 2.968716793032053 2.914068456841906 3.113353451786808 3.31356084913862 3.17361903944273 3.2988964231589293 2.7158633651582003 2.671478664162367 2.9699628551728656
ArlenMichael_ENG19201Arlen_1 2.87325159214297 3.6110219786748603 2.9553005654839906 0.0 3.46911150650759 3.12973577486654 3.069786726319121 2.8545123621808237 3.0948895214937657 2.8235952642780338 3.018189126133883 3.12083319867884 3.054233548556164 3.0997103151443604 3.07879560674362 2.9110259378265066 2.672945184012536 3.1948252324957096 3.31275596094512 3.089426928457624 2.949038029979117 3.16424263211401 3.0768198056687597 3.018209757235198 2.939175831843367 2.9701777477073743 3.102803075358046 2.9889675283671 3.23821853546461 3.2341983806801804 3.3590797688934995 3.08193599047128 3.0331953461061385 3.0100806032894023 2.956737856917419 2.996355941434661 2.99984356078179 3.0800523186611097 2.430830873848252 3.037705324891987 2.85506795898654 2.615920573096989 3.3558419420683903 3.031601600095592 3.031086106924261 3.1346027030848296 2.8820035730135594 2.913951057432325 3.3007453468990002 3.0810486697986654 3.182957937750095 2.9795923543919907 3.32747435499177 3.015703274774574 3.26931388158059 2.747951614040831 2.836495135537331 3.08018570629877 3.10929880007926 3.0340468679905346 3.0705247057836593 2.963187102118618 3.2884522773498803 2.9186467806669 2.877623112651921 2.868701804712359 3.34544809036465 2.690759787731902 2.836021043361587 3.0762009038009666 2.905111535687654 3.05820438396721 3.3106921062196495 3.3860248972500298 3.17898990889572 2.704492688940377 2.9159922989330043 3.014911028205102 2.915301736071926 3.19516497394474 3.015430257853767 3.2267437484828596 2.9800251563305515 2.758558932343228 3.13044463918491 2.92548724105204 3.0902748007544103 3.0817528171606208 3.2398382435020343 3.123579794857299 2.958125483055758 2.767383947848294 2.8762086746671582 2.694069385865864 2.7560123663363907 3.1944961059296597 3.123674265104781 3.078220957789763 3.1137876401472298 3.063618984893736
BaringGouldSabine_ENG18980BaringGould_1 3.2133295280758714 2.487898797399417 3.4056661102768495 3.46911150650759 0.0 2.770096538754924 3.3384810964624902 3.47462601122668 3.0036370044666754 2.988708131585939 3.072760144104119 2.7905403254445753 2.953114625491948 3.0291918172507777 3.051392471889235 3.2158566539509135 3.0854002752695617 2.964784403120102 3.23267150820404 2.9911729392794255 3.0762463938200133 2.9820136449545 2.892247272087471 3.12816482041705 3.2213345194109473 3.019543755840065 3.030875646638519 3.1799430974551397 3.0122445707331114 2.690568855737437 2.572540347897889 2.86233374282464 3.06602684108583 3.054170377503797 3.152868302865794 3.0371403591422093 3.1773615099473203 2.9946692725228896 3.4867267233726795 3.0687810784568 3.2702376977132497 3.4212728037932205 2.816870434008833 3.24443329158726 2.754137663987978 2.928406083138061 3.3252792953073054 3.2735134631348597 2.6056641375685574 3.17813940999109 2.984436446995679 2.846122606788557 2.960539236029229 3.1479656921818897 2.8257621193039237 2.914908566906814 3.25064118209807 2.592483849627898 2.7159605170632233 2.877059773450714 3.160483151170829 3.107514705745785 2.58696380302196 2.774067596772186 3.26365103625319 3.20310948809297 2.97391390021633 3.2406159128952003 3.39235931021895 2.731917538976135 2.908689900262138 2.5535834664328303 2.6989989640292613 2.737141682849643 2.709991086290462 3.4298183678351997 3.3539833076235697 2.8752878967095663 2.983417461770379 2.8427973325125078 3.0393719125746887 2.7790554021871063 3.035923738920361 3.3022184980137004 2.930411258858375 3.20937521580424 2.923278071601855 2.947653438393303 2.935151126098668 2.97131680356927 2.922293498556726 3.1159123178979797 3.15501156606849 3.085389990940798 2.997515165583652 3.021831450312797 2.813289600348023 3.2782069119071098 3.23549639381667 3.15817406906498
BarryWilliamFrancis_ENG18870Barry_1 2.955044490636137 3.0813698798760703 3.1626406492318 3.12973577486654 2.770096538754924 0.0 3.0567255037724146 3.1439035815445697 3.19862778468532 3.0842795673063303 2.994628957912341 2.932294537731197 2.9203980370522187 3.052264209515034 3.1649905579711 3.02509047823222 3.070960651278896 2.913669432449851 3.26823452167627 3.1584135547440404 2.881247314731732 2.908101327652224 2.951548818887749 3.0589637524307873 3.09202226426394 3.14562986623587 3.098996877298222 3.1469692223218697 3.1324616211953202 2.9055248649533962 2.90826203231454 2.891438224332668 3.0969047324370322 3.070264748396685 2.9789951061896023 2.853737636412761 2.883947297791646 2.980014591212762 3.11218635500344 2.953115730019971 2.987587437225553 3.1565159990718694 2.986967967858977 3.0313942624165895 2.874991548425846 2.9885781003467313 3.0117496126468595 3.10088885970014 2.913232242015743 3.2234628836684696 3.02147582248488 3.0023765007269114 3.0884833786344714 3.018090084407013 2.997103397504664 2.881245785896302 3.17094398111165 2.804167691520416 2.905050802163602 2.9794820018968 3.2020805284956504 3.1292377843084314 2.833756521781288 3.0398843463756675 2.99176708585245 3.24492174309557 3.24368912851408 2.998879015058951 2.9587451507767115 3.004151195806582 3.041149743514831 2.902430908981086 3.067483226374897 3.1143377046710903 3.0408593753239304 3.15289816652931 2.902042923312364 2.9637988024234243 2.8205528059190583 3.015490858266463 3.0171457006627804 3.06625193681942 2.9256952424168077 2.9586741049701857 3.0602440889122895 3.07701394435657 3.1433338060985196 3.045818429831357 3.056039855929317 3.0394044394806903 3.1206424414114378 3.1955919818791902 3.14031319985821 3.011869449033568 2.8411021409287542 2.952326710236585 2.9291636191019905 2.865213766196757 2.9849284653924473 3.050891745024257
BellocLowndesMarie_ENG19121Belloc_1 2.9979624312844706 3.13319606530016 2.9952938865790424 3.069786726319121 3.3384810964624902 3.0567255037724146 0.0 2.754656045817832 3.004517559530771 3.226223281858784 2.9303814949330462 3.13929690981743 3.18266202676442 2.8882347918930726 2.920310369375183 2.8488772456958937 3.180064500776845 3.0564839049991477 2.7148647032524638 2.991315679511546 2.994471070977841 2.919418645754265 3.1946251043280003 3.022172548043218 2.856687420074737 3.061267193535099 3.0602167154078748 3.0535845763819127 3.0009980030980192 3.1500609132951203 3.16654989018231 3.025462893811303 2.7981397901655827 3.0285379411960536 3.23390850046361 3.151251753946509 3.006958843899393 2.866342435382152 3.008617783651581 3.0860988799357703 3.0380602932856 2.731467438791955 2.8095226608379087 2.672814988953861 3.2749119939074003 3.0000844445529893 2.7407577086627137 3.1532363350502104 3.44430000217955 3.0557994041139303 2.841934722688501 3.26813336016951 2.823581454534505 2.8158416507637574 2.839165218072075 3.3571933848495776 2.8567486278651755 3.1417766150927005 3.2959081534288948 3.3209670512823797 2.901461580138949 3.01485463896618 2.98419454156551 3.1536520120872797 2.877939541281002 2.967211524287647 2.881817182747855 3.108133568822293 2.910563317250341 3.3493709102274205 3.0691199969015908 3.4263252543835856 3.18483554160496 3.11147665739482 3.11610124234889 2.88177766579913 2.751756745508879 3.10067888089576 3.21570752452933 3.008863861625829 3.007883475766537 2.987080856637896 3.11373157271287 2.871364061018134 3.0063044541651354 3.13860507353711 3.0920541748249093 3.10600521134135 2.976506412751795 2.8412986044072057 3.16639599722942 3.16949959471562 3.07187207466803 3.029391862882192 3.3019234751151303 2.942429274705457 2.9790651507526382 2.8834767329612703 2.8812065996300795 2.884680070141183
BensonEdwardFrederic_ENG18930Benson_1 3.1138109579010784 3.37820810197249 2.533028360219832 2.8545123621808237 3.47462601122668 3.1439035815445697 2.754656045817832 0.0 2.9289333438633247 3.20817802321207 3.13304515956395 3.38257421077986 2.679970890860385 3.067460027616261 2.991660207019117 3.0185846200615325 3.006409307686162 2.9393087998025162 2.84898559315752 3.32147396760737 3.0711004336054097 2.7641275451313003 3.30659273924117 3.2608824964630605 3.0465243527101897 3.104030574475024 3.24815633667602 2.854313074534625 3.23074023051244 3.45263840904091 3.2999016133472403 3.1256844006283657 3.142326014299797 3.085990478147454 2.885689949916118 3.05433565385266 2.801150455290127 2.352637241880903 2.239981291325823 3.032184934955097 2.451270912767927 2.317038176705378 3.005905190639185 2.4459990825761646 3.54967257751553 3.12424585502782 2.342220259665148 2.970325341054808 3.50163958964393 2.7554397976774347 2.9602659412141463 3.49110065153104 2.8489342449450463 2.9483672391931135 3.148560042672912 3.34960308726904 3.060721797204292 3.4932939172339803 3.211701519618741 3.68444154911266 2.859041238273118 3.232308343284247 3.2581856284240303 3.2387239934966106 2.562270139487187 2.3621548193847848 2.9116079352086643 2.755530581122518 2.6914855547525978 3.6205938261715596 3.1555360753005797 3.72586942842049 3.47307763896404 3.07356189104291 3.35605404956925 2.1870249267207518 2.516164094482744 3.55696697976535 3.49773913182399 3.2671075947354415 3.024264388401841 3.4266741600801502 3.18503912129822 2.406298288298747 3.082867746503985 3.0434221295184356 3.44617020497747 3.38945524362857 3.015976623270464 2.929492718754312 3.5361409046253804 2.966897339937276 2.904799271204377 2.951314141314332 3.23740067468531 3.049940450824364 3.2397469504424503 2.541342833301023 2.4410805343804176 2.757911934162893
BensonStella_ENG19190Benson_1 3.3618056140880404 2.957398292933664 3.0301771837815763 3.0948895214937657 3.0036370044666754 3.19862778468532 3.004517559530771 2.9289333438633247 0.0 3.14670981550091 3.013045664933592 3.0268054542056575 3.1497506852561625 3.013695612710419 2.934423925470663 3.11176366403276 2.9119090068869053 2.84828496691963 2.847241235655077 2.745613165684026 3.1648935153616202 3.32432410584263 3.1724180625992195 2.952659288099128 3.1315706570968205 2.940685109619734 3.13938312334211 3.106933160509227 3.1913406252267995 2.9033596161946678 2.839608575525609 3.042834475325063 2.730188076677768 3.1051571755172103 3.1320037651070307 3.1291167423990904 3.11813287115077 2.8432933161266347 3.061488984652499 3.1777674518849004 3.004562993074931 3.065823695343479 3.0519278284492675 2.9525252991434474 2.9721208161290473 3.05580425732834 3.095367325695733 2.995471669583089 2.8778879117042027 2.994252341035292 2.926404537500274 3.17712041980743 2.9281367272710925 3.058101641146661 2.970306524790094 3.2742010485092 2.9805276800035827 3.1308246589558886 3.0445481611584118 2.832218142416363 2.7222698223098036 2.920509454285784 3.0038260258313647 3.37643115750767 3.031224488819713 2.7930364850857488 2.7001434966971 3.23498276235928 3.19991541889023 3.014057057184165 3.0024116270810093 2.966743890955539 2.7131942620903082 2.918511926986563 2.994477192210847 3.048705970412982 3.09633035701906 3.08548847713561 3.2982715135039404 2.845587573103775 3.1429092720298577 3.0650468386738856 3.20691466000591 3.35351284583541 3.21020431059958 3.194730354309518 3.043153595042587 2.955961795665007 2.938096727580859 2.990239007961219 2.8266716731567163 2.6810189688084 2.692894775362347 2.914090763478118 3.2714765619534703 3.07493501821348 2.7882856441282513 3.34017014050663 3.19262005815811 3.23521339564174
BlackmoreRichardDoddridge_ENG18640Blackmore_1 2.7775779553367803 3.07907273096304 3.030778964067614 2.8235952642780338 2.988708131585939 3.0842795673063303 3.226223281858784 3.20817802321207 3.14670981550091 0.0 3.1407004190032217 2.889522824925935 2.791020167170159 3.04459675867827 3.0216498886918233 3.08544810840115 2.887596307652515 3.19095914993469 3.10336126341733 3.2341194319068896 3.13573401836363 3.0818366320714903 3.022588540594472 3.071645701899815 2.896224815284819 2.9953706669776756 2.917215126831403 2.8382757177226927 2.8550817506813617 3.1660680989376697 3.22574634345904 3.2035051458244403 3.0879067473559196 2.9854313106633623 3.06714519765979 3.21438353474631 3.2925235793858194 3.16309847400174 3.0391451440177897 2.721864193289891 3.076953268113367 2.8146406900912537 2.9972982900062908 3.027128892762705 3.11102910034377 3.1044134942146098 3.08201050228804 3.0811755824753497 3.03665273681309 3.13043996640594 2.919739157383784 2.787027328592675 3.19253078289438 3.17090142945119 3.2433329794346397 2.94092339843982 3.1667855572808303 3.0538864416197176 2.713211525737751 3.061029759560337 2.949260247584978 3.0922619098911 3.109047905894241 2.706578118232738 3.12620554467481 2.9415021282829 3.2074056904777697 3.024369400815313 3.07184789692926 2.9443104847374393 2.8573565557963687 2.883388014801635 2.972361890856164 2.813037427444876 3.052152361493641 3.0277220904085 3.0624435032997095 2.891678995156213 3.029525344419398 3.045266603950216 2.9272039126364424 3.07848173260628 3.0605234872350895 3.0984778758653158 3.19142989216742 2.965360814352834 2.645305930050804 3.067716334088791 2.9954198657414137 3.040844165137586 2.797333040987979 3.03222949063766 3.21657952202957 3.1057703612665772 2.9828266420052048 3.3040743066759 3.0610401540185554 3.1032898566630402 3.0566632438910197 3.101387294050906
